profile01,profile02,profile03,profile04,profile05,profile06,profile07,profile08,profile09,profile10,profile11,profile12,profile13,profile14,profile15,profile16
56,48,31,47,24,69,34,22,28,30,76,36,27,16,29,58
25,58,49,71,58,63,38,36,34,52,38,80,49,74,13,58
67,2,53,16,67,46,39,34,43,31,49,38,55,61,35,53
38,64,50,69,50,49,57,27,29,22,58,33,70,24,71,30
64,47,83,52,73,21,66,17,66,43,57,57,69,47,52,34
43,50,32,36,56,32,46,20,84,5,46,18,73,17,36,31
22,54,1,32,39,29,50,27,49,31,19,27,37,4,29,32
18,34,42,27,27,18,32,50,60,13,22,10,51,45,52,22
56,34,44,30,48,11,61,15,39,70,54,58,45,27,68,39
48,54,35,26,24,30,42,51,75,60,28,48,25,59,27,79
61,31,35,47,32,56,22,85,7,77,31,46,26,53,63,39
50,4,66,7,44,19,60,26,31,49,51,44,28,55,52,50
55,50,60,46,34,21,33,43,52,24,29,18,31,20,33,9
63,48,45,62,62,54,52,59,4,83,31,69,40,52,59,46
57,44,60,65,50,66,16,50,44,64,55,80,46,83,18,62
21,87,17,57,24,38,48,53,75,47,32,41,55,38,56,60
17,28,73,32,28,32,61,55,39,32,62,30,24,37,64,12
41,47,18,37,48,19,45,20,57,36,38,30,65,9,57,24
25,18,72,24,38,30,43,39,47,7,41,21,31,51,28,23
32,44,57,44,35,21,63,9,22,58,57,62,28,33,52,41
80,61,3,52,73,53,17,53,86,57,19,51,83,46,24,61
42,56,33,70,60,49,30,24,38,39,45,55,62,25,29,20
26,56,44,64,73,63,72,25,23,56,51,81,58,59,40,65
79,16,54,28,59,36,27,25,57,27,57,30,64,40,41,36
40,42,37,40,50,22,55,13,56,48,67,49,60,10,63,20
37,52,63,57,16,48,28,66,38,27,47,22,35,49,57,31
65,47,15,41,79,32,41,45,59,66,5,56,65,42,31,45
30,28,61,39,61,41,64,13,38,36,67,58,45,39,36,34
71,16,39,26,65,30,35,4,36,36,46,43,62,37,36,46
35,45,40,41,38,26,29,55,83,35,42,30,53,26,45,7
51,8,62,15,54,31,44,41,56,44,48,46,41,62,36,43
36,53,38,74,46,89,14,78,43,56,52,69,52,77,29,56
16,68,36,46,32,27,70,52,52,41,29,31,48,35,73,42
35,43,70,40,48,27,47,59,83,16,42,20,59,47,52,14
52,39,21,30,57,41,41,21,52,38,30,46,49,40,15,62
24,25,35,17,35,13,58,32,61,51,59,40,45,23,70,23
44,25,60,34,32,41,37,60,50,23,61,15,53,42,75,23
32,43,38,27,47,47,56,25,75,3,57,20,59,34,35,54
62,75,36,53,45,37,54,73,54,76,7,51,36,55,47,66
57,38,92,53,39,45,40,49,24,40,45,47,26,73,36,46
